,RP_ID,x,y,z,u_dx,u_dy,v_dx,v_dy
0,0,0.0,56.004,-203.377,-0.707,0.707,0.707,0.707
1,1,0.0,-56.353,-203.377,0.707,-0.707,-0.707,-0.707
2,2,57.14,0.0,-203.827,0.707,0.707,0.707,-0.707
3,3,21.692,3.397,-212.55,0.606,0.795,0.795,-0.606
4,4,-2.938,19.775,-213.0,-0.798,0.603,0.603,0.798
5,5,3.07,-20.129,-213.0,0.799,-0.601,-0.601,-0.799
6,20,-0.55,20.328,-214.628,-0.707,0.707,0.707,0.707
7,21,-0.361,-20.591,-214.628,0.708,-0.707,-0.707,-0.708
8,22,21.694,1.1,-215.078,0.712,0.702,0.702,-0.712
9,23,21.218,0.228,-219.55,0.709,0.706,0.706,-0.709
10,24,-0.117,20.776,-220.0,-0.707,0.707,0.707,0.707
11,25,0.123,-21.125,-220.0,0.707,-0.707,-0.707,-0.707
12,100,0.0,56.012,203.377,0.707,0.707,-0.707,0.707
13,101,0.0,-56.059,203.377,-0.707,-0.707,0.707,-0.707
14,102,57.129,-0.0,203.827,0.707,-0.707,0.707,0.707
15,103,21.915,3.544,212.55,0.797,-0.605,0.605,0.797
16,104,-2.915,20.041,213.0,0.602,0.798,-0.798,0.602
17,105,3.207,-20.044,213.0,-0.602,-0.799,0.799,-0.602
18,120,0.646,22.031,214.628,0.693,0.721,-0.721,0.693
19,121,-0.102,-20.571,214.628,-0.708,-0.706,0.706,-0.708
20,122,21.782,1.134,215.078,0.704,-0.711,0.711,0.704
21,123,21.07,0.066,219.55,0.704,-0.71,0.71,0.704
22,124,-0.556,21.01,220.0,0.708,0.707,-0.707,0.708
23,125,-0.711,-21.196,220.0,-0.706,-0.708,0.708,-0.706
